,Open,High,Low,Close,Volume,Adj Close
2024-12-16,70.01000213623047,70.94000244140625,69.37999725341797,70.02999877929688,2530500,70.02999877929688
2024-12-17,69.66000366210938,70.45999908447266,69.30999755859375,70.11000061035156,2046400,70.11000061035156
2024-12-18,70.11000061035156,71.38999938964844,69.23999786376953,69.2699966430664,2631800,69.2699966430664
2024-12-19,69.47000122070312,70.0,68.16999816894531,69.05999755859375,3082300,69.05999755859375
2024-12-20,69.11000061035156,73.01000213623047,68.68000030517578,72.94000244140625,7044700,72.94000244140625
2024-12-23,72.7300033569336,73.9800033569336,71.83000183105469,73.7300033569336,2849900,73.7300033569336
2024-12-24,73.88999938964844,74.01000213623047,72.87000274658203,73.37999725341797,1120500,73.37999725341797
2024-12-26,73.75,76.30000305175781,73.11000061035156,76.19000244140625,2677400,76.19000244140625
2024-12-27,76.20999908447266,76.41999816894531,75.4800033569336,75.98999786376953,2137500,75.98999786376953
2024-12-30,75.5,76.73999786376953,74.66000366210938,74.7699966430664,3129200,74.7699966430664
2024-12-31,74.37999725341797,75.5,73.58000183105469,74.94000244140625,1893600,74.94000244140625
2025-01-02,75.62999725341797,78.3499984741211,75.48999786376953,76.47000122070312,3259300,76.47000122070312
2025-01-03,76.98999786376953,77.54000091552734,72.44999694824219,73.36000061035156,4557800,73.36000061035156
2025-01-06,74.44000244140625,77.33000183105469,74.26000213623047,76.61000061035156,2879400,76.61000061035156
2025-01-07,77.0,78.38999938964844,74.79000091552734,75.01000213623047,2162400,75.01000213623047
2025-01-08,74.48999786376953,74.5199966430664,70.12000274658203,71.97000122070312,3367800,71.97000122070312
2025-01-10,70.91000366210938,73.93000030517578,70.75,72.9000015258789,2703800,72.9000015258789
2025-01-13,73.08999633789062,73.08999633789062,70.6500015258789,71.1500015258789,2051500,71.1500015258789
2025-01-14,70.94999694824219,71.83000183105469,68.87000274658203,70.16999816894531,2810100,70.16999816894531
2025-01-15,71.5,72.87999725341797,70.26000213623047,70.33999633789062,1816100,70.33999633789062
2025-01-16,70.16999816894531,71.55999755859375,67.63999938964844,71.08000183105469,2795900,71.08000183105469
2025-01-17,71.98999786376953,72.69999694824219,71.11000061035156,72.06999969482422,2257100,72.06999969482422
2025-01-21,72.5,75.54000091552734,72.5,73.76000213623047,3739500,73.76000213623047
2025-01-22,73.86000061035156,74.2300033569336,71.88999938964844,71.97000122070312,2965700,71.97000122070312
2025-01-23,71.5999984741211,71.87999725341797,70.33999633789062,71.13999938964844,1943500,71.13999938964844
