,Open,High,Low,Close,Volume,Adj Close
2024-03-04,70.69000244140625,71.69000244140625,70.5,71.38999938964844,4277700,71.38999938964844
2024-03-05,71.06999969482422,71.06999969482422,67.30999755859375,69.04000091552734,6840700,69.04000091552734
2024-03-06,70.97000122070312,71.7300033569336,69.11000061035156,71.31999969482422,7401200,71.31999969482422
2024-03-07,71.94999694824219,73.33000183105469,71.19000244140625,73.06999969482422,6314300,73.06999969482422
2024-03-08,73.26000213623047,73.5,71.08999633789062,71.3499984741211,5278900,71.3499984741211
2024-03-11,70.93000030517578,71.80000305175781,69.91000366210938,71.45999908447266,3139300,71.45999908447266
2024-03-12,71.68000030517578,71.94999694824219,70.73999786376953,71.33999633789062,3858500,71.33999633789062
2024-03-13,71.58999633789062,71.58999633789062,70.0,70.18000030517578,4078200,70.18000030517578
2024-03-14,69.29000091552734,69.75,67.62000274658203,68.04000091552734,6500100,68.04000091552734
2024-03-15,67.72000122070312,67.97000122070312,66.51000213623047,66.72000122070312,10118000,66.72000122070312
2024-03-18,66.98999786376953,68.18000030517578,66.80999755859375,67.55000305175781,3909000,67.55000305175781
2024-03-19,67.12999725341797,67.87999725341797,66.44999694824219,67.79000091552734,3059400,67.79000091552734
2024-03-20,67.79000091552734,68.05999755859375,67.0199966430664,67.87000274658203,4230300,67.87000274658203
2024-03-21,68.58000183105469,68.72000122070312,67.75,68.56999969482422,3716300,68.56999969482422
2024-03-22,68.91999816894531,68.93000030517578,67.52999877929688,68.30000305175781,2832800,68.30000305175781
2024-03-25,67.8499984741211,68.41000366210938,67.61000061035156,67.88999938964844,3296100,67.88999938964844
2024-03-26,67.95999908447266,68.16999816894531,67.04000091552734,67.44999694824219,3312400,67.44999694824219
2024-03-27,68.29000091552734,68.31999969482422,66.19000244140625,67.2699966430664,3535000,67.2699966430664
2024-03-28,67.20999908447266,68.5999984741211,67.0,68.30999755859375,3922200,68.30999755859375
2024-04-01,68.7300033569336,68.7300033569336,66.7300033569336,67.81999969482422,3003400,67.81999969482422
2024-04-02,66.97000122070312,68.93000030517578,66.5999984741211,68.8499984741211,4711600,68.8499984741211
2024-04-03,68.61000061035156,72.0199966430664,68.58000183105469,71.31999969482422,7868900,71.31999969482422
2024-04-04,72.02999877929688,73.62999725341797,69.20999908447266,69.2300033569336,6959700,69.2300033569336
2024-04-05,69.75,71.83000183105469,69.33999633789062,70.91000366210938,7475400,70.91000366210938
2024-04-08,70.04000091552734,70.23999786376953,68.2300033569336,68.38999938964844,5099900,68.38999938964844
2024-04-09,69.13999938964844,69.13999938964844,67.80000305175781,68.22000122070312,2799300,68.22000122070312
2024-04-10,67.08000183105469,68.5,67.08000183105469,68.12999725341797,3641300,68.12999725341797
2024-04-11,68.61000061035156,68.86000061035156,67.44000244140625,68.22000122070312,2917900,68.22000122070312
2024-04-12,67.47000122070312,67.72000122070312,65.93000030517578,66.44999694824219,5134700,66.44999694824219
2024-04-15,67.08000183105469,67.19000244140625,64.58000183105469,64.7300033569336,4911100,64.7300033569336
2024-04-16,64.62000274658203,65.56999969482422,64.26000213623047,64.4800033569336,3015000,64.4800033569336
2024-04-17,64.88999938964844,65.55000305175781,64.5,64.66000366210938,3278400,64.66000366210938
2024-04-18,64.7699966430664,65.01000213623047,63.529998779296875,64.02999877929688,3087300,64.02999877929688
2024-04-19,63.790000915527344,64.41000366210938,62.91999816894531,63.400001525878906,4836100,63.400001525878906
2024-04-22,63.970001220703125,64.2300033569336,62.61000061035156,63.689998626708984,3629200,63.689998626708984
2024-04-23,64.08000183105469,65.0999984741211,63.97999954223633,64.80000305175781,3544100,64.80000305175781
2024-04-24,64.88999938964844,65.80000305175781,64.58999633789062,65.44999694824219,3817100,65.44999694824219
2024-04-25,64.61000061035156,64.69000244140625,62.869998931884766,64.02999877929688,3670800,64.02999877929688
2024-04-26,64.41999816894531,65.1500015258789,63.900001525878906,64.18000030517578,4138200,64.18000030517578
2024-04-29,64.3499984741211,65.13999938964844,63.70000076293945,64.30000305175781,3824400,64.30000305175781
2024-04-30,63.790000915527344,64.44000244140625,63.15999984741211,63.18000030517578,5324400,63.18000030517578
2024-05-01,63.5099983215332,64.87000274658203,63.13999938964844,63.529998779296875,4337000,63.529998779296875
2024-05-02,63.150001525878906,65.26000213623047,63.0099983215332,65.19999694824219,8288900,65.19999694824219
2024-05-03,61.86000061035156,62.4900016784668,58.790000915527344,58.880001068115234,15896600,58.880001068115234
2024-05-06,59.25,60.349998474121094,58.43000030517578,58.810001373291016,14472600,58.810001373291016
2024-05-07,59.0,60.400001525878906,58.40999984741211,59.43000030517578,18440300,59.43000030517578
2024-05-08,59.41999816894531,59.79999923706055,57.84000015258789,59.630001068115234,10886900,59.630001068115234
