날짜,시가,고가,저가,종가,거래량,등락률
2025-11-24,611000,611000,428500,438500,1178683,
2025-11-25,395000,412000,330000,335500,1690325,-23.48916761687571
2025-11-26,337000,394500,329000,363000,2178506,8.19672131147541
2025-11-27,351000,458500,351000,434500,2858529,19.696969696969695
2025-11-28,437000,476000,425500,429000,1666338,-1.2658227848101267
2025-12-01,429500,436500,395000,398000,884247,-7.226107226107226
2025-12-02,402000,449000,385000,442000,1923357,11.055276381909549
2025-12-03,454500,562000,452500,549000,3759058,24.20814479638009
2025-12-04,537000,578000,525000,557000,1946500,1.4571948998178506
2025-12-05,552000,590000,514000,515000,1284866,-7.5403949730700175
2025-12-08,525000,537000,506000,515000,681006,0.0
2025-12-09,521000,585000,519000,575000,2149855,11.650485436893204
2025-12-10,569000,577000,555000,565000,634546,-1.7391304347826086
2025-12-11,572000,606000,563000,569000,1277380,0.7079646017699115
2025-12-12,571000,689000,570000,661000,2493488,16.16871704745167
2025-12-15,650000,739000,649000,709000,1591265,7.2617246596066565
2025-12-16,718000,759000,707000,712000,1281265,0.4231311706629055
2025-12-17,712000,713000,660000,666000,741249,-6.460674157303371
2025-12-18,648000,720000,648000,680000,1039039,2.1021021021021022
2025-12-19,693000,703000,663000,673000,433458,-1.0294117647058822
2025-12-22,686000,688000,650000,663000,411969,-1.4858841010401187
2025-12-23,668000,672000,640000,652000,411504,-1.6591251885369533
2025-12-24,649000,669000,636000,638000,391074,-2.147239263803681
2025-12-26,639000,705000,637000,680000,919960,6.583072100313479
2025-12-29,691000,750000,680000,739000,741759,8.676470588235293
2025-12-30,743000,765000,726000,743000,676279,0.5412719891745602
2026-01-02,754000,773000,701000,715000,378185,-3.768506056527591
2026-01-05,702000,721000,671000,705000,216659,-1.3986013986013985
2026-01-06,711000,736000,681000,690000,283375,-2.127659574468085
2026-01-07,700000,708000,681000,697000,192050,1.0144927536231882
2026-01-08,711000,716000,681000,689000,230302,-1.1477761836441895
2026-01-09,690000,699000,675500,688000,181703,-0.14513788098693758
2026-01-12,690000,690000,657000,663000,201774,-3.6337209302325584
2026-01-13,667000,686000,661000,668000,163472,0.7541478129713424
2026-01-14,673000,673000,650000,652000,145336,-2.3952095808383236
2026-01-15,649000,693000,646000,685000,246587,5.061349693251533
2026-01-16,683000,683000,651000,651000,214930,-4.963503649635037
2026-01-19,652000,652000,630000,630000,193226,-3.225806451612903
2026-01-20,640000,654000,630000,632000,174733,0.31746031746031744
2026-01-21,614000,630000,596000,615000,234171,-2.689873417721519
2026-01-22,619000,664000,605000,640000,273481,4.0650406504065035
2026-01-23,635000,646000,624000,638000,131560,-0.3125
2026-01-26,631000,650000,629000,640000,137985,0.3134796238244514
2026-01-27,625000,626000,607000,612000,211411,-4.375
2026-01-28,615000,646000,615000,628000,178384,2.6143790849673203
2026-01-29,628000,631000,612000,619000,103248,-1.4331210191082804
2026-01-30,620000,621000,606000,606000,100234,-2.10016155088853
2026-02-02,600000,621000,581000,584000,129758,-3.6303630363036308
2026-02-03,595000,604000,583000,598000,81560,2.3972602739726026
2026-02-04,590000,608000,590000,607000,74476,1.5050167224080269
2026-02-05,613000,619000,581000,581000,94551,-4.2833607907743
2026-02-06,559000,567000,547000,558000,93670,-3.9586919104991396
2026-02-09,574000,605000,572000,598000,101481,7.168458781362006
2026-02-10,601000,621000,587000,615000,119603,2.842809364548495
2026-02-11,632000,648000,615000,615000,201687,0.0
2026-02-12,619000,619000,604000,610000,92185,-0.8130081300813009
2026-02-13,610000,617000,599000,603000,63139,-1.1475409836065573
2026-02-19,604000,625000,604000,621000,93336,2.9850746268656714
2026-02-20,622000,629000,612000,613000,56875,-1.288244766505636
2026-02-23,614000,664000,612000,655000,250538,6.851549755301795
2026-02-24,657000,680000,652000,674000,194455,2.900763358778626
2026-02-25,671000,685000,666000,673000,104405,-0.1483679525222552
2026-02-26,668000,687000,659000,681000,178537,1.188707280832095
2026-02-27,681000,682000,656000,675000,869119,-0.881057268722467
