날짜,시가,고가,저가,종가,거래량,등락률
2025-03-04,78500,79200,77100,77900,1154886,-0.5108556832694764
2025-03-05,79200,79600,76400,76600,1562477,-1.6688061617458279
2025-03-06,77800,79200,77500,78600,1559898,2.610966057441253
2025-03-07,78600,79200,77700,77700,1168545,-1.1450381679389312
2025-03-10,77000,79000,76600,78500,961703,1.0296010296010296
2025-03-11,78000,78300,76500,77400,1259132,-1.4012738853503186
2025-03-12,77800,78100,76400,76900,1425883,-0.6459948320413437
2025-03-13,77400,79800,77300,78600,2826631,2.2106631989596877
2025-03-14,77500,80000,77100,78300,1596060,-0.38167938931297707
2025-03-17,79100,79900,78400,78900,804423,0.7662835249042145
2025-03-18,79900,81100,79800,80200,1164823,1.6476552598225602
2025-03-19,80800,81700,80400,81200,907656,1.2468827930174564
2025-03-20,82200,82700,81600,82300,1260292,1.354679802955665
2025-03-21,81100,83300,80500,81300,2609924,-1.2150668286755772
2025-03-24,81100,82100,80700,81800,808002,0.6150061500615006
2025-03-25,81000,82000,80100,81900,1311376,0.12224938875305623
2025-03-26,81700,82700,81700,81800,970252,-0.1221001221001221
2025-03-27,81500,82000,79900,80200,1149285,-1.9559902200488997
2025-03-28,80700,80700,78500,78700,1041894,-1.8703241895261846
2025-03-31,78200,79800,77800,79000,1578278,0.3811944091486658
2025-04-01,80100,81200,79000,79600,727852,0.7594936708860759
2025-04-02,80700,81100,80000,80500,867214,1.1306532663316584
2025-04-03,77300,78300,76800,77100,1550963,-4.22360248447205
2025-04-04,75700,78300,75700,77700,1379580,0.7782101167315175
2025-04-07,74300,74400,71800,72300,1936293,-6.94980694980695
2025-04-08,71700,72500,69500,70500,2165054,-2.4896265560165975
2025-04-09,70500,71200,69300,70900,1189462,0.5673758865248227
2025-04-10,74900,75900,72500,75900,1781664,7.052186177715091
2025-04-11,73200,75600,73000,75200,1080402,-0.922266139657444
2025-04-14,75600,77000,75000,76100,751964,1.196808510638298
2025-04-15,76700,78200,76100,78000,653537,2.4967148488830486
2025-04-16,78500,80000,77800,80000,997030,2.564102564102564
2025-04-17,80000,80400,79100,80300,976299,0.375
2025-04-18,79900,82600,79700,82400,1199689,2.6151930261519305
2025-04-21,82400,83000,81400,82800,508614,0.48543689320388345
2025-04-22,82900,83700,82100,83400,1003736,0.7246376811594203
2025-04-23,84400,85000,83800,85000,942291,1.9184652278177456
2025-04-24,85500,85500,83900,84600,1093828,-0.4705882352941176
2025-04-25,86300,87300,85300,86900,1432921,2.7186761229314422
2025-04-28,87200,87700,86200,86600,623326,-0.34522439585730724
2025-04-29,87100,88000,86600,87800,1335130,1.3856812933025404
2025-04-30,88100,90200,87700,90200,1614509,2.733485193621868
2025-05-02,91000,93200,89900,93200,1764271,3.325942350332594
2025-05-07,94800,94900,93500,93600,1441226,0.4291845493562232
2025-05-08,93500,94500,93200,94500,1286335,0.9615384615384616
2025-05-09,92200,93100,91500,92000,1083392,-2.6455026455026456
2025-05-12,91300,92900,90800,92200,894041,0.21739130434782608
2025-05-13,91900,93100,91900,92600,981346,0.43383947939262474
2025-05-14,92700,94100,92600,93400,715874,0.8639308855291578
2025-05-15,92700,94700,92700,93600,535502,0.21413276231263384
2025-05-16,92700,94000,92500,93600,652372,0.0
2025-05-19,94400,95800,93500,95000,971610,1.4957264957264957
2025-05-20,96200,96300,94900,96300,787613,1.368421052631579
2025-05-21,96500,98200,96000,98000,1053819,1.7653167185877467
2025-05-22,96100,97700,96100,96700,768775,-1.3265306122448979
2025-05-23,96800,99600,96700,99000,939884,2.378490175801448
2025-05-26,100000,102000,99200,102000,1282596,3.0303030303030303
2025-05-27,101000,102000,100400,101900,1099027,-0.09803921568627451
2025-05-28,101400,102400,99900,101000,1177541,-0.8832188420019628
2025-05-29,100800,102900,100200,102700,1296257,1.6831683168316833
2025-05-30,102500,104900,102300,104300,3421277,1.557935735150925
2025-06-02,103700,104800,98600,100000,1481522,-4.1227229146692235
2025-06-04,100700,107900,100600,107900,2503826,7.9
2025-06-05,107900,108000,104100,106300,2359607,-1.4828544949026876
2025-06-09,106100,110700,105700,110700,2084938,4.13922859830668
2025-06-10,110800,114800,108400,110900,2263281,0.18066847335140018
2025-06-11,110600,110600,106400,107200,1666674,-3.3363390441839496
2025-06-12,107600,108100,105000,105900,2261184,-1.212686567164179
2025-06-13,105900,107200,104700,106000,1482722,0.09442870632672333
2025-06-16,106200,108100,104800,107800,1036382,1.6981132075471699
2025-06-17,106800,109300,106200,107100,1053976,-0.6493506493506493
2025-06-18,106100,107800,105500,107000,1083459,-0.09337068160597572
2025-06-19,107900,109000,105300,106700,1317751,-0.2803738317757009
2025-06-20,107500,108500,106500,106500,3095365,-0.18744142455482662
2025-06-23,107100,108200,105600,107600,1348050,1.0328638497652582
2025-06-24,109400,113200,108700,112300,1406979,4.368029739776952
2025-06-25,113000,113200,108800,109500,1685148,-2.4933214603739984
2025-06-26,111200,111300,108100,109900,824688,0.365296803652968
2025-06-27,110000,112300,109500,110600,1045704,0.6369426751592357
2025-06-30,111500,113200,109500,110900,1265461,0.27124773960216997
2025-07-01,109800,112700,109800,110800,1391114,-0.09017132551848511
2025-07-02,111200,113500,110100,113500,1583370,2.436823104693141
2025-07-03,115000,116900,113400,116900,1495856,2.9955947136563874
2025-07-04,116900,117900,111300,112100,1003310,-4.1060735671514115
2025-07-07,112100,114500,110900,114400,1096768,2.0517395182872438
2025-07-08,114100,122000,113700,122000,1777942,6.643356643356643
2025-07-09,119600,120000,116500,118400,1947529,-2.9508196721311477
2025-07-10,118000,118600,116200,116800,1638402,-1.3513513513513513
2025-07-11,116800,118300,116800,117300,981697,0.4280821917808219
2025-07-14,118000,119200,117500,118500,857015,1.0230179028132993
2025-07-15,116700,120000,116000,119600,986461,0.9282700421940928
2025-07-16,117500,117900,113300,113600,1684384,-5.016722408026756
2025-07-17,112800,115100,112600,114800,1249850,1.056338028169014
2025-07-18,115000,115500,112300,113400,627930,-1.2195121951219512
2025-07-21,115400,115600,114100,115000,739614,1.4109347442680775
2025-07-22,114600,116500,113800,114600,895670,-0.34782608695652173
2025-07-23,117500,117500,114300,115300,834382,0.6108202443280977
2025-07-24,116900,118400,115800,117200,1021966,1.647875108412836
2025-07-25,120300,126600,117300,118800,2075925,1.3651877133105803
2025-07-28,117600,117800,109600,110500,1481084,-6.986531986531987
2025-07-29,109400,112300,109200,111300,1459782,0.7239819004524887
2025-07-30,111400,113500,110000,112800,769200,1.3477088948787064
2025-07-31,111700,112700,110300,110900,1564300,-1.6843971631205674
2025-08-01,107800,108500,105800,106000,1884341,-4.418394950405771
2025-08-04,106700,108900,106600,108400,1262668,2.2641509433962264
2025-08-05,111500,113500,109800,112400,1242108,3.6900369003690034
2025-08-06,112500,115600,112100,115600,892654,2.8469750889679712
2025-08-07,115100,115400,113700,115000,685853,-0.5190311418685121
2025-08-08,113900,114600,112400,113500,647277,-1.3043478260869565
2025-08-11,113600,114000,112500,112700,676713,-0.7048458149779736
2025-08-12,113200,116900,112600,114100,672113,1.2422360248447204
2025-08-13,114600,115700,113100,114600,601859,0.43821209465381245
2025-08-14,115800,116300,113200,113200,786457,-1.2216404886561953
2025-08-18,111300,111900,107000,107200,1645279,-5.30035335689046
2025-08-19,107500,109400,106000,109400,1262756,2.0522388059701493
2025-08-20,110400,110500,106200,109500,1069376,0.09140767824497258
2025-08-21,109900,110500,108900,109700,590448,0.182648401826484
2025-08-22,110900,111200,108300,108400,601840,-1.1850501367365542
2025-08-25,109300,110400,109100,110300,447114,1.7527675276752765
2025-08-26,109700,109900,107700,108300,1759014,-1.813236627379873
2025-08-27,108000,109000,107000,108500,532960,0.18467220683287164
2025-08-28,108000,110700,107100,109100,727736,0.5529953917050692
2025-08-29,109200,110300,108200,108200,690061,-0.8249312557286892
