날짜,시가,고가,저가,종가,거래량,등락률
2025-03-04,19520,19690,19120,19400,57595,-1.5228426395939088
2025-03-05,19270,20900,19270,20700,277255,6.701030927835052
2025-03-06,20700,21450,20600,21000,143684,1.4492753623188406
2025-03-07,21100,21800,20800,21050,140452,0.2380952380952381
2025-03-10,21100,21300,20700,21100,72573,0.23752969121140144
2025-03-11,20300,21050,20300,20500,116190,-2.843601895734597
2025-03-12,20500,20900,20450,20800,63062,1.4634146341463417
2025-03-13,20700,21100,20500,20550,60709,-1.201923076923077
2025-03-14,20500,21000,19990,20050,149556,-2.4330900243309004
2025-03-17,20050,20450,19920,20350,96458,1.4962593516209477
2025-03-18,20400,20500,19910,19920,82191,-2.113022113022113
2025-03-19,19800,20200,19630,19800,80861,-0.6024096385542169
2025-03-20,19800,20050,19730,19750,72895,-0.25252525252525254
2025-03-21,19750,19800,19270,19560,88387,-0.9620253164556962
2025-03-24,19570,19840,19550,19820,49093,1.329243353783231
2025-03-25,19640,19950,19570,19580,60754,-1.2108980827447022
2025-03-26,19690,20150,19690,20050,92931,2.400408580183861
2025-03-27,19150,19270,18400,18500,209303,-7.73067331670823
2025-03-28,18580,18580,17610,18030,92838,-2.540540540540541
2025-03-31,17610,17870,17290,17480,63708,-3.050471436494731
2025-04-01,17480,17620,17020,17160,114838,-1.8306636155606408
2025-04-02,17270,17290,17000,17090,61861,-0.4079254079254079
2025-04-03,16940,17150,16510,17090,70400,0.0
2025-04-04,16850,17220,16500,16900,77990,-1.1117612638970158
2025-04-07,16350,16350,15450,15670,120302,-7.27810650887574
2025-04-08,15950,16000,15050,15140,133057,-3.382259093809828
2025-04-09,14830,15300,14750,15200,86562,0.3963011889035667
2025-04-10,15850,15870,15200,15640,123745,2.8947368421052633
2025-04-11,15470,15710,15100,15710,49016,0.4475703324808184
2025-04-14,15750,15860,15580,15670,85924,-0.2546148949713558
2025-04-15,15800,16090,15610,16080,67446,2.6164645820038293
2025-04-16,16010,16150,15740,15790,52212,-1.8034825870646767
2025-04-17,15750,16350,15710,16230,73766,2.786573780873971
2025-04-18,16250,16530,16100,16410,79557,1.1090573012939002
2025-04-21,16540,17080,16260,17070,102930,4.021937842778794
2025-04-22,17040,17250,16770,17170,66288,0.5858230814294083
2025-04-23,17300,17570,17300,17510,54778,1.9801980198019802
2025-04-24,17510,17670,17410,17460,56489,-0.2855511136493432
2025-04-25,17400,17670,17400,17640,34635,1.0309278350515463
2025-04-28,17470,17740,17400,17550,58940,-0.5102040816326531
2025-04-29,17540,17990,17540,17710,79844,0.9116809116809116
2025-04-30,17540,18080,17420,17860,61283,0.846979107848673
