날짜,시가,고가,저가,종가,거래량,등락률
2025-03-04,18980,18980,18820,18960,120762,0.05277044854881266
2025-03-05,18920,19150,18910,19020,123361,0.31645569620253167
2025-03-06,19110,19270,19020,19210,124476,0.9989484752891693
2025-03-07,19210,19350,19090,19220,111666,0.052056220718375845
2025-03-10,19200,19210,19120,19130,70810,-0.46826222684703434
2025-03-11,19000,19140,18940,19050,88388,-0.4181913225300575
2025-03-12,19000,19110,19000,19050,69756,0.0
2025-03-13,19050,19370,19050,19370,155162,1.6797900262467191
2025-03-14,19350,19360,19120,19270,90643,-0.5162622612287042
2025-03-17,19400,19430,19320,19420,149858,0.7784120394395433
2025-03-18,19450,19480,19330,19360,92162,-0.30895983522142123
2025-03-19,19280,19460,19270,19430,94967,0.3615702479338843
2025-03-20,19500,19650,19430,19490,133485,0.3088008234688626
2025-03-21,19520,19800,19370,19740,204535,1.2827090815802977
2025-03-24,19840,20000,19720,19770,162941,0.1519756838905775
2025-03-25,19900,19910,19600,19770,102356,0.0
2025-03-26,19860,19860,19620,19670,95683,-0.5058168942842691
2025-03-27,19490,19790,19490,19560,83536,-0.5592272496187087
2025-03-28,19640,19680,19360,19510,88694,-0.2556237218813906
2025-03-31,19450,19450,19110,19230,136486,-1.4351614556637622
2025-04-01,19240,19570,19240,19430,127397,1.0400416016640666
2025-04-02,19490,19520,19230,19300,87881,-0.6690684508492023
2025-04-03,19110,19360,18930,19360,129266,0.31088082901554404
2025-04-04,19090,19370,19020,19370,127037,0.05165289256198347
2025-04-07,19050,19470,18780,18850,186705,-2.684563758389262
2025-04-08,18900,19040,18790,18970,124923,0.636604774535809
2025-04-09,18830,18970,18690,18740,135970,-1.2124406958355298
2025-04-10,19080,19390,18910,19390,207678,3.468516542155817
2025-04-11,19170,19290,19090,19290,77845,-0.5157297576070139
2025-04-14,19220,19330,19140,19270,62957,-0.10368066355624676
2025-04-15,19200,19520,19180,19520,118153,1.2973533990659056
2025-04-16,19480,19550,18900,19420,105178,-0.5122950819672131
2025-04-17,19300,19440,19220,19240,121765,-0.9268795056642637
2025-04-18,19290,19330,19180,19330,49148,0.4677754677754678
2025-04-21,19330,19390,19240,19270,46986,-0.3103983445421624
2025-04-22,19260,19310,19190,19210,43703,-0.3113648157758173
2025-04-23,19320,19320,19200,19220,66328,0.052056220718375845
2025-04-24,19230,19300,19180,19180,54703,-0.20811654526534862
2025-04-25,19240,19300,19210,19260,38450,0.4171011470281543
2025-04-28,19210,19320,19170,19180,58004,-0.4153686396677051
2025-04-29,19180,19380,19180,19260,82931,0.4171011470281543
2025-04-30,19240,19350,19210,19330,66042,0.363447559709242
2025-05-02,19270,19360,19240,19310,68618,-0.10346611484738748
2025-05-07,19340,19440,19280,19310,95427,0.0
2025-05-08,19280,19350,19250,19280,104304,-0.15535991714137753
2025-05-09,19270,19310,19230,19290,46914,0.05186721991701245
2025-05-12,19290,19350,19260,19310,57464,0.10368066355624676
2025-05-13,19270,19350,19110,19150,154976,-0.8285862247540134
2025-05-14,19150,19190,19060,19110,122440,-0.20887728459530025
2025-05-15,19050,19600,18990,19290,251245,0.9419152276295133
2025-05-16,19360,19630,19330,19420,216302,0.673924313115604
2025-05-19,19380,19410,19170,19300,101168,-0.6179196704428425
2025-05-20,19380,19420,19240,19260,100465,-0.20725388601036268
2025-05-21,19310,19320,19160,19250,82069,-0.05192107995846314
2025-05-22,19200,19420,19160,19200,130890,-0.2597402597402597
2025-05-23,19170,19210,19110,19120,86208,-0.4166666666666667
2025-05-26,19180,19280,19070,19280,73920,0.8368200836820083
2025-05-27,19180,19280,19160,19280,62190,0.0
2025-05-28,19270,19540,19230,19530,235222,1.2966804979253113
2025-05-29,19730,20550,19660,20400,602836,4.45468509984639
2025-05-30,20300,20350,20050,20200,167494,-0.9803921568627451
2025-06-02,20150,20250,19820,19840,174460,-1.782178217821782
2025-06-04,20000,20250,19980,20150,196470,1.5625
2025-06-05,20150,20400,20100,20300,177510,0.7444168734491315
2025-06-09,20600,20850,20500,20600,293292,1.477832512315271
2025-06-10,20850,20900,20400,20750,215993,0.7281553398058253
2025-06-11,20600,20650,20350,20400,211069,-1.6867469879518073
2025-06-12,20350,20550,20300,20550,175269,0.7352941176470588
2025-06-13,20450,20500,19890,19950,340816,-2.9197080291970803
2025-06-16,19910,19930,19660,19880,118816,-0.3508771929824561
2025-06-17,20000,20300,19960,20100,216427,1.1066398390342052
2025-06-18,19990,20150,19970,20050,135928,-0.24875621890547264
2025-06-19,20100,20300,20050,20250,118354,0.997506234413965
2025-06-20,20450,20450,20150,20350,191218,0.49382716049382713
2025-06-23,20100,20150,20000,20050,108457,-1.4742014742014742
2025-06-24,20400,20450,20250,20400,231301,1.7456359102244388
2025-06-25,20450,20600,20350,20500,156988,0.49019607843137253
2025-06-26,20550,20550,20200,20400,233858,-0.4878048780487805
2025-06-27,20350,20400,20100,20200,184134,-0.9803921568627451
2025-06-30,20300,20700,20250,20600,166265,1.9801980198019802
2025-07-01,20650,20900,20600,20700,219028,0.48543689320388345
2025-07-02,20850,20950,20700,20900,179656,0.966183574879227
2025-07-03,21200,21250,20950,21100,198400,0.9569377990430622
2025-07-04,21100,21150,20700,20850,196116,-1.1848341232227488
2025-07-07,21000,22200,21000,21750,889756,4.316546762589928
2025-07-08,21800,21800,21250,21500,271659,-1.1494252873563218
2025-07-09,21550,21750,21500,21650,123121,0.6976744186046512
2025-07-10,21650,21750,21425,21500,239625,-0.6928406466512702
2025-07-11,21550,21850,21550,21650,152190,0.6976744186046512
2025-07-14,21750,22100,21600,22000,248457,1.6166281755196306
2025-07-15,21900,22000,21750,21900,249017,-0.45454545454545453
2025-07-16,21850,21900,21350,21450,195964,-2.054794520547945
2025-07-17,21500,21500,21200,21400,137300,-0.2331002331002331
2025-07-18,21550,21600,21250,21450,128345,0.23364485981308408
2025-07-21,21500,21500,21000,21100,233779,-1.6317016317016315
2025-07-22,21150,21200,20800,20950,175802,-0.7109004739336493
2025-07-23,21000,21100,20550,20850,122503,-0.47732696897374705
2025-07-24,20850,20900,20450,20500,197206,-1.6786570743405276
2025-07-25,20600,20700,20450,20450,96717,-0.24390243902439024
2025-07-28,20450,20550,20150,20150,201765,-1.466992665036675
2025-07-29,20100,20300,20000,20200,123008,0.24813895781637718
2025-07-30,20200,20400,20150,20350,95980,0.7425742574257426
2025-07-31,20350,20400,20150,20250,121055,-0.4914004914004914
2025-08-01,20100,20150,19880,19900,277735,-1.728395061728395
2025-08-04,19910,20100,19690,19920,187611,0.10050251256281408
2025-08-05,20000,20150,19860,19860,147200,-0.30120481927710846
2025-08-06,19860,20100,19860,20050,100088,0.9566968781470292
2025-08-07,20100,20100,19930,20100,83524,0.24937655860349126
2025-08-08,20100,20150,19920,19950,265905,-0.7462686567164178
2025-08-11,19970,19980,19870,19890,96742,-0.30075187969924816
2025-08-12,19890,19940,19650,19660,191761,-1.1563599798893918
2025-08-13,19750,19760,19490,19520,153667,-0.7121057985757884
2025-08-14,19530,19690,19490,19490,190957,-0.15368852459016394
2025-08-18,19520,19630,19260,19260,173678,-1.1800923550538738
2025-08-19,19320,19320,19110,19120,178874,-0.726895119418484
2025-08-20,19120,19250,18950,19230,209985,0.5753138075313807
2025-08-21,19240,19350,19080,19090,147044,-0.7280291211648465
2025-08-22,19100,19190,19010,19100,105882,0.05238344683080147
2025-08-25,19150,19220,19120,19170,79783,0.36649214659685864
2025-08-26,19200,19350,19170,19190,101018,0.10432968179447052
2025-08-27,19300,19300,19180,19200,65621,0.05211047420531526
2025-08-28,19210,19280,19100,19260,58731,0.3125
2025-08-29,19310,19310,19050,19100,139210,-0.8307372793354102
2025-09-01,19100,19200,18970,19200,106295,0.5235602094240838
