날짜,시가,고가,저가,종가,거래량,등락률
2025-03-04,14120,14760,14030,14240,21833027,2.078853046594982
2025-03-05,14400,15150,14000,15000,33447308,5.337078651685393
2025-03-06,14990,15265,14660,14940,16372769,-0.4
2025-03-07,14740,15090,14580,14860,11696479,-0.535475234270415
2025-03-10,15010,15040,14240,14530,12163860,-2.220726783310902
2025-03-11,14000,14280,13770,14220,13593507,-2.1335168616655196
2025-03-12,14740,15490,14220,14360,49016196,0.9845288326300985
2025-03-13,14550,14850,14050,14080,19036020,-1.9498607242339834
2025-03-14,14160,14430,14090,14320,8537547,1.7045454545454544
2025-03-17,14430,15140,14260,14790,20321168,3.282122905027933
2025-03-18,14970,15450,14860,15440,26324577,4.394861392832995
2025-03-19,15480,15840,15120,15210,17296217,-1.4896373056994818
2025-03-20,15330,15330,14530,14540,14987688,-4.40499671268902
2025-03-21,14450,14690,14140,14580,10733577,0.2751031636863824
2025-03-24,14600,14740,14480,14670,4698983,0.6172839506172839
2025-03-25,14650,14740,13960,14000,8624345,-4.567143830947512
2025-03-26,13910,14190,13850,14070,5526680,0.5
2025-03-27,14390,14400,13720,13770,8427365,-2.1321961620469083
2025-03-28,13760,13950,13560,13830,5394036,0.4357298474945534
2025-03-31,13460,13810,13270,13480,6953048,-2.5307302964569773
2025-04-01,13710,14100,13690,14050,5701503,4.2284866468842734
2025-04-02,14110,14160,13800,13880,4760760,-1.2099644128113878
2025-04-03,13600,14030,13550,14010,6798766,0.9365994236311239
2025-04-04,13790,14230,13380,13720,9496140,-2.0699500356887937
2025-04-07,13170,13180,12650,12720,7764209,-7.288629737609329
2025-04-08,13040,13350,12780,13220,7087137,3.930817610062893
2025-04-09,13530,13610,12930,13040,7249419,-1.361573373676248
2025-04-10,13790,13990,13540,13950,8268063,6.978527607361963
2025-04-11,14150,14520,14090,14500,10701486,3.942652329749104
2025-04-14,14810,14820,14370,14450,6055197,-0.3448275862068966
2025-04-15,14550,14620,14400,14540,4038501,0.6228373702422145
2025-04-16,14550,14830,14370,14490,5931178,-0.34387895460797796
