날짜,시가,고가,저가,종가,거래량,등락률
2025-03-04,240000,246000,237500,240500,106618,0.20833333333333334
2025-03-05,241500,263500,241500,262500,155159,9.147609147609149
2025-03-06,262500,263000,252000,255000,63532,-2.857142857142857
2025-03-07,253500,253500,247500,248000,55525,-2.7450980392156863
2025-03-10,248000,258500,247000,249500,55395,0.6048387096774194
2025-03-11,244000,246000,241500,244000,62486,-2.2044088176352705
2025-03-12,244500,247000,242500,243000,52739,-0.4098360655737705
2025-03-13,243000,249000,241500,242000,91970,-0.411522633744856
2025-03-14,243000,247500,241000,245000,30574,1.2396694214876034
2025-03-17,246000,247500,244000,246000,37194,0.40816326530612246
2025-03-18,248000,248500,243000,245500,36051,-0.20325203252032523
2025-03-19,244500,249500,244500,246000,28663,0.20366598778004072
2025-03-20,246000,247500,242000,242000,56745,-1.6260162601626018
2025-03-21,242000,243500,241000,241500,41943,-0.2066115702479339
2025-03-24,241500,244000,240000,242000,15172,0.2070393374741201
2025-03-25,241000,244500,241000,244000,25966,0.8264462809917356
2025-03-26,246000,246500,240000,243000,32554,-0.4098360655737705
2025-03-27,240500,242500,237500,237500,42059,-2.263374485596708
2025-03-28,239500,240000,233000,234000,36111,-1.4736842105263157
2025-03-31,231000,232000,224500,225500,48139,-3.632478632478633
2025-04-01,227000,234500,227000,231500,23820,2.6607538802660753
2025-04-02,231500,233500,224000,225000,38657,-2.8077753779697625
2025-04-03,220000,231000,219000,231000,32647,2.666666666666667
2025-04-04,228500,233500,225000,229000,37384,-0.8658008658008658
2025-04-07,221000,224500,214500,215000,56290,-6.11353711790393
2025-04-08,221000,235500,220000,231000,81007,7.441860465116279
2025-04-09,230000,230500,225000,226000,37270,-2.1645021645021645
2025-04-10,235000,238000,228500,236500,59129,4.646017699115045
2025-04-11,233500,243000,231500,243000,53294,2.748414376321353
2025-04-14,241500,243500,236500,240500,32499,-1.02880658436214
2025-04-15,240500,241500,237500,239000,23874,-0.6237006237006237
2025-04-16,239500,239500,233000,234500,32385,-1.882845188284519
2025-04-17,235000,238500,234500,235500,20933,0.42643923240938164
2025-04-18,238000,240000,235500,239500,32685,1.6985138004246285
2025-04-21,240500,242000,237500,240000,25271,0.20876826722338201
2025-04-22,239000,240000,236000,239500,14815,-0.20833333333333334
2025-04-23,242000,244500,239500,242000,36801,1.0438413361169103
2025-04-24,244500,244500,239000,240500,19346,-0.6198347107438017
2025-04-25,241500,242500,239000,240000,19447,-0.2079002079002079
2025-04-28,239000,241000,237500,239000,22417,-0.4166666666666667
2025-04-29,239500,252000,239500,247000,58274,3.3472803347280333
2025-04-30,248000,275000,247000,269000,282647,8.906882591093117
2025-05-02,265000,271500,263500,265500,87564,-1.3011152416356877
2025-05-07,262000,262000,255500,257500,52863,-3.0131826741996233
2025-05-08,259500,271500,259000,260000,134922,0.9708737864077669
2025-05-09,262500,275000,261500,271500,146126,4.423076923076923
2025-05-12,273000,273000,258500,269500,110147,-0.7366482504604052
2025-05-13,272500,283500,271500,277000,139621,2.782931354359926
2025-05-14,274000,293500,272000,288500,146453,4.1516245487364625
2025-05-15,287000,295000,284000,292000,83147,1.2131715771230502
2025-05-16,293500,296000,287750,293000,80060,0.3424657534246575
2025-05-19,290000,291000,282500,286000,52316,-2.3890784982935154
2025-05-20,288500,290500,284000,285000,65160,-0.34965034965034963
2025-05-21,289000,296000,287000,291500,62521,2.280701754385965
2025-05-22,290000,297000,286000,288500,47071,-1.0291595197255576
2025-05-23,289500,294500,280000,292000,62626,1.2131715771230502
2025-05-26,291000,308000,290500,307000,96263,5.136986301369863
2025-05-27,305000,306000,299000,306000,45619,-0.32573289902280134
2025-05-28,311500,311500,298000,300500,65864,-1.7973856209150325
2025-05-29,305000,312500,304500,306000,59501,1.8302828618968388
2025-05-30,305000,311500,296500,311500,70368,1.7973856209150325
2025-06-02,310500,310500,300000,304500,57887,-2.247191011235955
2025-06-04,304500,306500,295500,299000,84301,-1.8062397372742198
2025-06-05,296500,299500,291000,293500,91455,-1.839464882943144
2025-06-09,293000,295500,288500,292500,83372,-0.34071550255536626
2025-06-10,295500,317500,291500,316500,181102,8.205128205128204
2025-06-11,319500,324500,312000,314500,72220,-0.631911532385466
2025-06-12,318500,320000,312500,314000,107156,-0.1589825119236884
2025-06-13,313000,313000,296000,299000,89284,-4.777070063694268
2025-06-16,298000,299000,275500,283000,270794,-5.351170568561873
2025-06-17,291000,294500,278000,291500,161686,3.0035335689045937
2025-06-18,290500,293500,287500,289000,56891,-0.8576329331046313
2025-06-19,292000,299000,287500,296500,108137,2.5951557093425603
2025-06-20,299000,304000,294500,302000,95339,1.854974704890388
2025-06-23,297500,314000,296000,303500,111460,0.49668874172185434
2025-06-24,304500,304500,293500,297500,118906,-1.9769357495881383
2025-06-25,296500,297000,293000,295000,61911,-0.8403361344537815
2025-06-26,293500,294500,286500,290500,53042,-1.5254237288135595
2025-06-27,292500,297000,288000,289500,48212,-0.34423407917383825
2025-06-30,289500,290000,284000,286000,54918,-1.2089810017271159
2025-07-01,288000,289500,286000,287000,44048,0.34965034965034963
2025-07-02,287500,291500,285500,289000,44647,0.6968641114982579
2025-07-03,291500,293500,286500,293500,51905,1.5570934256055362
2025-07-04,291500,291500,283500,284000,44113,-3.2367972742759794
2025-07-07,283500,286000,281000,284000,34020,0.0
2025-07-08,284500,289500,281500,282000,57220,-0.7042253521126761
2025-07-09,281500,281500,276000,281500,67503,-0.1773049645390071
2025-07-10,283000,287500,279000,286000,144040,1.5985790408525755
2025-07-11,286500,287500,283000,285500,39979,-0.17482517482517482
2025-07-14,285500,287000,279000,280000,60946,-1.926444833625219
2025-07-15,280000,290500,280000,289000,76793,3.214285714285714
2025-07-16,287000,287500,282500,284000,36860,-1.7301038062283738
2025-07-17,284500,297000,283500,296000,114577,4.225352112676056
2025-07-18,299500,299500,290500,292500,40743,-1.1824324324324325
2025-07-21,294500,295500,287000,288500,41019,-1.3675213675213675
2025-07-22,289000,292000,285500,287000,37777,-0.5199306759098787
2025-07-23,289500,290000,283000,287500,39213,0.17421602787456447
2025-07-24,290000,292500,287500,290500,58696,1.0434782608695654
2025-07-25,288500,290000,281500,282000,55855,-2.9259896729776247
2025-07-28,283000,283500,276500,276500,44493,-1.950354609929078
2025-07-29,278000,281500,274000,281000,44477,1.62748643761302
2025-07-30,279000,281000,275500,279500,35506,-0.5338078291814947
2025-07-31,279500,280000,275000,279500,42736,0.0
2025-08-01,277000,278500,267500,270000,95820,-3.3989266547406083
2025-08-04,272500,279500,270250,276500,31698,2.4074074074074074
2025-08-05,278500,283000,276000,282500,61712,2.1699819168173597
2025-08-06,280000,286500,278500,283500,56766,0.35398230088495575
2025-08-07,283500,285000,280500,285000,42019,0.5291005291005291
2025-08-08,283500,284500,278500,279000,30599,-2.1052631578947367
2025-08-11,279000,280000,275500,279000,22868,0.0
2025-08-12,278500,282000,278500,282000,29292,1.0752688172043012
2025-08-13,282000,282500,275500,281500,61665,-0.1773049645390071
2025-08-14,283500,289500,279500,279500,95168,-0.7104795737122558
2025-08-18,281500,285500,280000,281500,34968,0.7155635062611807
2025-08-19,282000,287500,279000,284000,44196,0.8880994671403196
2025-08-20,285500,285500,275500,282500,56300,-0.528169014084507
2025-08-21,281000,287000,281000,282000,32930,-0.17699115044247787
2025-08-22,282500,284500,281000,283000,30020,0.3546099290780142
2025-08-25,287500,292500,286000,290000,53006,2.4734982332155475
2025-08-26,288500,299500,286000,298000,106952,2.7586206896551726
2025-08-27,298000,305000,296500,300000,79485,0.6711409395973155
2025-08-28,301500,306500,298500,303500,59296,1.1666666666666667
2025-08-29,305000,308000,302500,303000,43787,-0.16474464579901155
2025-09-01,303500,313000,303500,304000,71997,0.33003300330033003
2025-09-02,307500,310500,304000,309000,51389,1.644736842105263
2025-09-03,312000,315000,299000,305000,68324,-1.2944983818770228
2025-09-04,302500,308500,300250,304500,44036,-0.16393442622950818
2025-09-05,303500,306500,300500,305500,31553,0.3284072249589491
2025-09-08,309500,313000,305000,306000,42738,0.16366612111292964
2025-09-09,305000,305000,289000,290500,155663,-5.065359477124183
2025-09-10,291500,292000,288000,291000,80802,0.17211703958691912
2025-09-11,290500,292000,288000,292000,104973,0.3436426116838488
2025-09-12,292500,297500,291000,296000,72822,1.36986301369863
2025-09-15,298000,299000,293000,299000,41148,1.0135135135135136
2025-09-16,299000,326500,297000,319000,227223,6.688963210702341
2025-09-17,322500,322500,311500,312000,68584,-2.19435736677116
2025-09-18,316000,337500,316000,332500,189108,6.570512820512821
2025-09-19,329500,374500,329000,360500,305317,8.421052631578947
2025-09-22,362500,373500,357500,366000,157927,1.5256588072122053
2025-09-23,391500,396500,382000,384500,248382,5.05464480874317
2025-09-24,395500,396500,383000,393000,169094,2.2106631989596877
2025-09-25,390500,390500,372500,375000,163623,-4.580152671755725
2025-09-26,373500,387500,373500,377000,112971,0.5333333333333333
2025-09-29,380500,381000,370000,372500,68728,-1.1936339522546418
2025-09-30,391500,391500,362000,367000,213045,-1.476510067114094
2025-10-01,365000,370500,357500,360500,87853,-1.7711171662125342
2025-10-02,363000,363500,354500,354500,118221,-1.6643550624133148
2025-10-10,355000,362000,347000,354500,78644,0.0
2025-10-13,348000,354500,342000,349000,61279,-1.5514809590973202
2025-10-14,349500,353500,339500,342000,91771,-2.005730659025788
2025-10-15,350000,358000,347500,352000,122063,2.923976608187134
2025-10-16,357500,357500,342500,342500,100150,-2.6988636363636362
2025-10-17,348000,356000,344000,346000,98499,1.0218978102189782
2025-10-20,352000,358500,343000,353500,95203,2.167630057803468
2025-10-21,355500,355500,343000,343500,94110,-2.828854314002829
2025-10-22,345000,352500,341500,349000,57242,1.6011644832605532
2025-10-23,350000,352500,344000,344500,60225,-1.2893982808022924
2025-10-24,347000,348000,324500,339000,101376,-1.5965166908563133
2025-10-27,345500,439500,344500,428000,894689,26.253687315634217
2025-10-28,423500,423500,396000,405500,302863,-5.257009345794392
2025-10-29,409000,409500,390500,393500,200914,-2.9593094944512948
2025-10-30,400500,402500,386500,390500,132648,-0.7623888182973316
2025-10-31,401000,435500,397500,425000,524727,8.8348271446863
2025-11-03,422500,427000,410000,424000,168953,-0.2352941176470588
2025-11-04,427000,465500,418000,451500,458937,6.485849056603773
2025-11-05,469000,480000,449000,459000,407801,1.6611295681063125
2025-11-06,452000,464000,443000,443500,180149,-3.376906318082789
2025-11-07,431000,469500,430500,439000,205609,-1.0146561443066515
2025-11-10,448000,455000,440000,443500,98896,1.0250569476082005
2025-11-11,444000,469000,436000,454000,225446,2.367531003382187
2025-11-12,477000,494000,466750,479500,386838,5.616740088105727
2025-11-13,485500,487000,471000,483000,172116,0.7299270072992701
2025-11-14,473500,487500,471500,473000,148682,-2.070393374741201
2025-11-17,477500,486500,465500,474000,111582,0.21141649048625794
2025-11-18,480500,481000,456500,461000,128832,-2.7426160337552745
2025-11-19,466000,469000,442000,450000,115492,-2.386117136659436
2025-11-20,451000,461000,445000,456500,119736,1.4444444444444444
2025-11-21,441000,449500,437500,445500,73436,-2.4096385542168677
2025-11-24,451500,467000,442500,446000,105497,0.11223344556677892
2025-11-25,450000,460500,441500,444500,72199,-0.336322869955157
2025-11-26,449500,464500,442000,455500,89682,2.4746906636670416
2025-11-27,461500,468000,447500,449500,65334,-1.3172338090010975
2025-11-28,454000,461000,450000,456500,82164,1.557285873192436
2025-12-01,456500,459000,446000,451000,101900,-1.2048192771084338
2025-12-02,449500,449500,420000,430000,149764,-4.656319290465632
2025-12-03,430000,434000,425000,434000,72583,0.9302325581395349
2025-12-04,430000,430500,423000,430000,89667,-0.9216589861751152
2025-12-05,427500,429000,415000,426000,87890,-0.9302325581395349
2025-12-08,426000,426500,417500,421500,66211,-1.056338028169014
2025-12-09,427500,430000,422500,428000,70253,1.542111506524318
2025-12-10,427000,440000,424500,433500,79241,1.2850467289719625
2025-12-11,438000,464000,435500,450000,218310,3.8062283737024223
2025-12-12,453000,470000,442000,445500,106227,-1.0
2025-12-15,442500,453000,437000,448000,70502,0.5611672278338945
2025-12-16,452500,455000,435000,436500,80883,-2.5669642857142856
2025-12-17,440000,442000,429500,434500,52639,-0.45819014891179843
2025-12-18,451500,452000,423750,434000,140996,-0.11507479861910241
2025-12-19,436000,457500,432500,441000,122873,1.6129032258064515
2025-12-22,447000,447500,432500,438000,66469,-0.6802721088435374
2025-12-23,437500,443000,433500,440000,59367,0.45662100456621
2025-12-24,444000,448000,436000,440500,58011,0.11363636363636363
2025-12-26,440000,456500,435000,450500,93158,2.2701475595913734
2025-12-29,450500,453500,444000,451000,53455,0.11098779134295228
2025-12-30,453000,457500,445500,452000,50426,0.22172949002217296
2026-01-02,455000,460000,436500,443000,82794,-1.991150442477876
2026-01-05,439000,452500,435500,452000,100137,2.0316027088036117
2026-01-06,455500,471500,450500,469000,158834,3.761061946902655
2026-01-07,472000,472500,455000,464000,94971,-1.0660980810234542
2026-01-08,468000,476500,459000,463000,87276,-0.21551724137931033
