날짜,시가,고가,저가,종가,거래량,등락률
2025-03-04,86000,86800,85200,85700,147592,-1.2672811059907834
2025-03-05,85800,87600,84800,85200,373148,-0.5834305717619603
2025-03-06,85400,86300,84500,85400,254242,0.2347417840375587
2025-03-07,85300,85900,83600,84000,391941,-1.639344262295082
2025-03-10,84000,85800,83500,84800,163827,0.9523809523809524
2025-03-11,83200,84100,82500,83100,274168,-2.0047169811320753
2025-03-12,82900,84600,82700,84100,237900,1.203369434416366
2025-03-13,84100,85000,82500,83100,341093,-1.1890606420927468
2025-03-14,83400,83400,81600,82000,213583,-1.3237063778580023
2025-03-17,83100,83300,81600,82600,248719,0.7317073170731708
2025-03-18,83200,85000,82900,84100,311864,1.8159806295399514
2025-03-19,84100,85700,83900,85300,238416,1.426872770511296
2025-03-20,85900,87400,84700,85700,192196,0.4689331770222743
2025-03-21,85300,86500,84200,86200,346615,0.5834305717619603
2025-03-24,85400,86200,84900,85000,101816,-1.3921113689095126
2025-03-25,84200,85100,83600,84900,171563,-0.1176470588235294
2025-03-26,85300,85300,84000,84300,134092,-0.7067137809187279
2025-03-27,83600,85800,83500,85700,164102,1.6607354685646498
2025-03-28,85600,85900,84100,85300,126757,-0.4667444574095682
2025-03-31,84400,84600,82400,82900,306623,-2.813599062133646
2025-04-01,82800,84900,82700,83500,163085,0.7237635705669482
2025-04-02,83300,84400,82000,82600,148002,-1.0778443113772456
2025-04-03,80100,81600,79600,81300,260527,-1.573849878934625
2025-04-04,80200,82000,79700,80900,147323,-0.4920049200492005
2025-04-07,78300,78800,76100,77500,185631,-4.202719406674907
2025-04-08,78100,78700,75700,76500,220926,-1.2903225806451613
2025-04-09,75100,76000,73300,73600,287484,-3.7908496732026142
2025-04-10,76000,78800,76000,78800,199612,7.065217391304348
2025-04-11,77000,77300,75900,77200,175148,-2.030456852791878
2025-04-14,77400,79000,77200,78600,121087,1.8134715025906734
2025-04-15,78600,79800,78400,79500,108764,1.1450381679389312
2025-04-16,79900,80000,79000,79700,98525,0.25157232704402516
2025-04-17,79900,79900,78700,79400,85102,-0.37641154328732745
2025-04-18,79500,80000,79100,79600,56370,0.2518891687657431
2025-04-21,79600,80300,79100,80300,48102,0.8793969849246231
2025-04-22,80800,83400,79400,82200,238218,2.3661270236612704
2025-04-23,83700,83700,82100,83000,132643,0.9732360097323601
2025-04-24,82200,83200,82200,82900,118609,-0.12048192771084339
2025-04-25,83300,84400,82600,82800,148408,-0.12062726176115801
2025-04-28,82600,84100,82600,83200,120708,0.4830917874396135
2025-04-29,83200,85500,82800,85100,178586,2.283653846153846
2025-04-30,85400,86200,84700,86200,320413,1.2925969447708578
2025-05-02,86000,86700,84300,85300,187742,-1.0440835266821344
2025-05-07,86300,86400,84500,84600,130632,-0.8206330597889802
2025-05-08,84200,85800,84200,84800,202056,0.2364066193853428
2025-05-09,84900,85400,84300,84600,66213,-0.2358490566037736
2025-05-12,85100,86200,84700,85800,97259,1.4184397163120568
2025-05-13,84900,86400,84900,86200,137976,0.4662004662004662
2025-05-14,86100,86600,84700,86300,177344,0.11600928074245939
2025-05-15,85000,85100,83100,83500,245544,-3.2444959443800694
2025-05-16,83300,84800,82700,84300,142427,0.9580838323353293
2025-05-19,84400,90400,84200,89000,435000,5.575326215895611
2025-05-20,89500,89800,87600,88200,163586,-0.8988764044943821
2025-05-21,88000,92900,87300,91500,406323,3.741496598639456
2025-05-22,96000,97500,89700,90600,693196,-0.9836065573770493
2025-05-23,90300,94100,90300,92000,255393,1.545253863134658
2025-05-26,91900,99600,91800,99300,562080,7.934782608695652
2025-05-27,98500,99600,95700,97000,292276,-2.3162134944612287
2025-05-28,96800,97700,95700,96500,322995,-0.5154639175257731
2025-05-29,98300,100800,97400,99400,469309,3.005181347150259
2025-05-30,99100,101000,98700,98900,804456,-0.5030181086519114
2025-06-02,98900,101200,98100,99900,551726,1.0111223458038423
2025-06-04,101900,109100,101200,108800,711148,8.90890890890891
2025-06-05,108300,128200,106600,120500,1144121,10.753676470588236
2025-06-09,121600,122000,117800,121800,877963,1.0788381742738589
2025-06-10,122000,124000,114000,116200,922709,-4.597701149425287
2025-06-11,117100,124400,116600,122500,612060,5.421686746987952
2025-06-12,122400,124300,120200,122600,536093,0.0816326530612245
2025-06-13,122700,127100,121200,124800,751965,1.794453507340946
2025-06-16,127100,130500,123800,127900,424095,2.483974358974359
2025-06-17,126100,128500,125400,126800,368450,-0.8600469116497262
2025-06-18,124900,124900,122200,123600,354727,-2.5236593059936907
2025-06-19,122400,126700,122400,124500,284216,0.7281553398058253
2025-06-20,124200,127300,122000,127200,616237,2.1686746987951806
2025-06-23,124900,126500,123500,124400,315378,-2.20125786163522
2025-06-24,126800,133400,126500,128500,484144,3.295819935691318
2025-06-25,130100,131000,127600,129000,289015,0.38910505836575876
2025-06-26,127600,128850,122700,125500,384250,-2.7131782945736433
2025-06-27,126400,130000,125100,126300,438651,0.6374501992031872
2025-06-30,128500,130600,127000,127400,286661,0.870942201108472
2025-07-01,129500,135100,128800,130000,446050,2.0408163265306123
2025-07-02,130200,131500,125000,127400,384428,-2.0
2025-07-03,128300,129900,126500,127200,287932,-0.15698587127158556
2025-07-04,126300,127100,123200,123900,241584,-2.5943396226415096
2025-07-07,121900,127200,121100,126500,156476,2.0984665052461664
2025-07-08,126600,130800,123900,130400,345500,3.08300395256917
2025-07-09,128200,134500,128100,133000,356609,1.9938650306748467
2025-07-10,132400,134600,130100,133000,363155,0.0
2025-07-11,132100,134500,128800,131600,164677,-1.0526315789473684
2025-07-14,131500,146800,131500,140700,885106,6.914893617021277
2025-07-15,139300,140100,136900,138500,375353,-1.5636105188343994
2025-07-16,136700,139800,136000,136600,262197,-1.371841155234657
2025-07-17,138000,142800,134900,139800,599570,2.342606149341142
2025-07-18,139200,139800,131500,135600,378143,-3.004291845493562
2025-07-21,133200,134400,131800,132600,278303,-2.2123893805309733
2025-07-22,132000,135600,130500,131300,194868,-0.9803921568627451
2025-07-23,132600,132600,126100,129100,324956,-1.6755521706016754
2025-07-24,129000,132800,127100,128200,432325,-0.69713400464756
2025-07-25,127000,129100,126900,128500,234429,0.234009360374415
2025-07-28,127600,129000,123100,124500,200625,-3.11284046692607
2025-07-29,123300,126100,123300,126100,154080,1.285140562248996
2025-07-30,124900,127500,124800,127300,188495,0.9516256938937351
2025-07-31,125700,127500,124900,125900,221388,-1.0997643362136684
2025-08-01,124100,125200,119300,119700,307245,-4.924543288324067
2025-08-04,118600,120900,117000,120200,324215,0.4177109440267335
2025-08-05,120800,125000,120700,123100,209216,2.4126455906821964
2025-08-06,122200,124300,122100,124100,101954,0.8123476848090982
2025-08-07,123900,124800,121800,124200,188041,0.08058017727639001
2025-08-08,124000,124600,122700,123400,115731,-0.644122383252818
2025-08-11,124500,124700,122200,123600,126659,0.1620745542949757
2025-08-12,122500,126700,122500,123900,248523,0.24271844660194172
2025-08-13,123500,125900,122800,125300,215631,1.1299435028248588
2025-08-14,126700,129400,126500,128500,294690,2.5538707102952913
2025-08-18,127700,128400,126300,127500,313241,-0.7782101167315175
2025-08-19,128600,130200,127700,129000,325040,1.1764705882352942
2025-08-20,130100,130200,126700,129800,474038,0.6201550387596899
2025-08-21,130400,140500,129700,139400,572232,7.395993836671804
2025-08-22,140000,143900,136000,139400,619856,0.0
2025-08-25,141000,145200,139000,141000,328691,1.1477761836441895
2025-08-26,140000,141000,138300,139100,304696,-1.3475177304964538
2025-08-27,139500,140300,137200,138700,142863,-0.28756290438533433
2025-08-28,140000,146000,139200,144100,370389,3.8932948810382118
2025-08-29,145600,145800,142000,143100,222555,-0.6939625260235947
2025-09-01,143200,145700,141500,143800,224013,0.4891684136967156
2025-09-02,142600,153400,142600,151700,481176,5.493741307371349
2025-09-03,151900,152800,147600,149000,364546,-1.7798286090969018
2025-09-04,147600,150700,146900,149000,196003,0.0
2025-09-05,148500,150500,148000,149900,235180,0.6040268456375839
2025-09-08,150200,151600,149000,150400,156076,0.333555703802535
2025-09-09,151000,159500,149700,157500,381389,4.720744680851064
2025-09-10,157600,160600,157500,158600,332293,0.6984126984126984
2025-09-11,158100,160900,157900,160900,346442,1.450189155107188
2025-09-12,167800,167900,158300,159900,247275,-0.6215040397762586
2025-09-15,158400,165800,158300,160600,274333,0.4377736085053158
2025-09-16,160900,162000,159100,160100,196724,-0.311332503113325
2025-09-17,158800,160100,154000,155200,329091,-3.0605871330418486
