날짜,시가,고가,저가,종가,거래량,등락률
2025-03-04,144600,146900,143000,145000,1227,0.2766251728907331
2025-03-05,144900,148100,143900,147700,2500,1.862068965517241
2025-03-06,147700,148000,144800,145800,1323,-1.2863913337846988
2025-03-07,145800,146200,144800,146000,1312,0.1371742112482853
2025-03-10,146000,146000,144000,144900,1256,-0.7534246575342466
2025-03-11,144900,147900,144900,147000,1554,1.4492753623188406
2025-03-12,147000,147000,145900,146500,255,-0.3401360544217687
2025-03-13,147200,148000,146500,147500,1552,0.6825938566552902
2025-03-14,147500,148500,147300,147400,1346,-0.06779661016949153
2025-03-17,147500,149500,147500,149200,1179,1.2211668928086838
2025-03-18,150000,150000,149200,150000,298,0.5361930294906166
2025-03-19,150100,150700,148600,149700,1433,-0.2
2025-03-20,149900,150600,149700,150100,83,0.26720106880427524
2025-03-21,148300,149900,148300,149700,245,-0.2664890073284477
2025-03-24,149800,150500,148900,149400,1226,-0.2004008016032064
2025-03-25,149600,150000,149300,149900,1794,0.33467202141900937
2025-03-26,149900,150000,149000,149900,1342,0.0
2025-03-27,149900,151000,149900,150900,1022,0.66711140760507
2025-03-28,150900,151000,150100,150900,1501,0.0
2025-03-31,150900,151000,148400,149500,1648,-0.9277667329357191
2025-04-01,149500,149700,149500,149700,369,0.13377926421404682
2025-04-02,149700,150100,149600,149800,1267,0.06680026720106881
2025-04-03,150400,150900,149800,149900,169,0.06675567423230974
2025-04-04,150100,152000,149900,151400,1601,1.0006671114076051
2025-04-07,151400,151400,147800,150800,1540,-0.3963011889035667
2025-04-08,150800,151200,149400,150100,1505,-0.4641909814323607
2025-04-09,150100,150100,148100,149700,1223,-0.2664890073284477
2025-04-10,149800,149900,148400,149600,991,-0.06680026720106881
2025-04-11,149600,150000,149100,149900,1155,0.2005347593582888
2025-04-14,149900,152800,148200,149900,1195,0.0
2025-04-15,149900,149900,146800,149700,1986,-0.13342228152101399
2025-04-16,149700,149700,148200,149600,1040,-0.06680026720106881
2025-04-17,149600,149800,148600,149400,702,-0.1336898395721925
2025-04-18,149900,149900,148400,148400,741,-0.6693440428380187
2025-04-21,149600,149700,148800,148800,163,0.2695417789757413
2025-04-22,149100,153500,148900,151900,1859,2.083333333333333
2025-04-23,152000,154900,151900,153100,2659,0.7899934167215273
2025-04-24,153000,153400,150500,153400,1572,0.1959503592423253
2025-04-25,153200,153200,151500,152500,1340,-0.5867014341590613
2025-04-28,152500,153600,151100,152400,958,-0.06557377049180328
2025-04-29,152400,154900,152400,154900,2034,1.6404199475065617
2025-04-30,153100,160000,153100,158800,1509,2.5177533892834085
2025-05-02,158800,159000,154000,155000,575,-2.392947103274559
2025-05-07,152600,164600,151700,164600,3836,6.193548387096774
2025-05-08,164900,164900,155600,157900,1886,-4.070473876063184
2025-05-09,157900,159500,155400,155500,514,-1.5199493350221658
2025-05-12,155500,157900,153800,154500,939,-0.6430868167202572
2025-05-13,155000,159900,153300,157100,679,1.6828478964401297
2025-05-14,157100,160800,157100,157900,1131,0.5092297899427116
2025-05-15,156200,157900,155700,157900,934,0.0
2025-05-16,157900,158200,155500,155600,1202,-1.4566181127295756
2025-05-19,155700,159900,154000,156700,1342,0.7069408740359897
2025-05-20,156900,163600,156600,162600,3475,3.765156349712827
2025-05-21,160300,167200,160300,165800,2510,1.968019680196802
2025-05-22,165800,167100,160300,163300,1457,-1.5078407720144753
2025-05-23,163300,164500,160600,164000,1461,0.4286589099816289
2025-05-26,167900,167900,161000,164700,1602,0.426829268292683
2025-05-27,166900,166900,161800,163000,415,-1.0321797207043109
2025-05-28,166000,166000,161700,163800,680,0.49079754601227
2025-05-29,163700,164300,160900,163400,1146,-0.2442002442002442
2025-05-30,163900,164700,161400,161900,1291,-0.9179926560587516
2025-06-02,160900,165000,160700,163500,1428,0.9882643607164917
2025-06-04,164700,166700,162000,164000,2076,0.3058103975535168
2025-06-05,161200,164700,161000,161000,1065,-1.8292682926829267
2025-06-09,161000,164500,161000,161900,839,0.5590062111801243
2025-06-10,163400,163400,160900,163300,1067,0.8647313156269302
2025-06-11,165200,165200,156700,157100,3844,-3.7966932026944273
2025-06-12,158900,169500,157200,166900,20055,6.238064926798217
2025-06-13,166900,170000,152300,152800,7455,-8.448172558418214
2025-06-16,155000,159000,152800,158900,1308,3.992146596858639
2025-06-17,154100,156900,151900,151900,1779,-4.405286343612335
2025-06-18,150300,152500,149300,150500,1311,-0.9216589861751152
2025-06-19,149000,150200,147000,147000,1401,-2.3255813953488373
2025-06-20,148200,148200,145400,145400,653,-1.0884353741496597
2025-06-23,144000,146500,140500,140700,1576,-3.2324621733149934
2025-06-24,144800,145100,140900,140900,759,0.14214641080312723
2025-06-25,140900,145200,140200,143300,1814,1.7033356990773598
2025-06-26,142000,147100,141800,147100,1919,2.6517794836008375
2025-06-27,145900,149200,144200,144200,663,-1.9714479945615229
2025-06-30,145700,148700,144200,147200,899,2.0804438280166435
2025-07-01,160000,160000,149500,151900,1753,3.192934782608696
2025-07-02,151400,155900,148800,151400,912,-0.32916392363396973
2025-07-03,151400,154000,150300,151000,689,-0.26420079260237783
2025-07-04,151000,152800,148400,149300,1067,-1.1258278145695364
2025-07-07,149200,152600,144500,145800,1281,-2.344273275284662
2025-07-08,151100,151100,145200,145200,1009,-0.411522633744856
2025-07-09,145200,149200,144200,145500,774,0.2066115702479339
2025-07-10,144600,152500,144600,151300,1382,3.9862542955326457
2025-07-11,152700,157000,149300,155000,1743,2.4454725710508924
2025-07-14,153700,157900,153700,154400,600,-0.3870967741935484
2025-07-15,152900,152900,147900,150700,1090,-2.3963730569948183
2025-07-16,149200,151400,147800,150900,1074,0.13271400132714
2025-07-17,150900,151700,147200,151500,1627,0.3976143141153081
2025-07-18,149000,153800,149000,153800,1859,1.518151815181518
2025-07-21,153800,156500,151200,153700,1495,-0.06501950585175553
2025-07-22,153600,153600,148400,149900,1480,-2.47234873129473
2025-07-23,149900,153400,147500,147500,1244,-1.6010673782521683
2025-07-24,147500,151000,146500,148900,1102,0.9491525423728813
2025-07-25,148900,151000,146800,146800,664,-1.4103425117528543
2025-07-28,147000,149900,146800,146800,511,0.0
2025-07-29,146800,151000,145600,146300,1017,-0.3405994550408719
2025-07-30,146300,149800,146300,146300,549,0.0
2025-07-31,146300,147500,145800,147200,969,0.6151742993848257
2025-08-01,147200,147800,142800,142800,1131,-2.989130434782609
2025-08-04,143000,145700,141200,141200,943,-1.1204481792717087
2025-08-05,141400,144900,141400,142000,716,0.56657223796034
2025-08-06,142100,145800,142100,142800,428,0.5633802816901409
2025-08-07,142800,144800,141600,143300,861,0.350140056022409
2025-08-08,143300,145900,142200,142500,597,-0.5582693649685974
2025-08-11,142700,143600,142400,143100,782,0.42105263157894735
2025-08-12,143100,145100,143100,144900,569,1.257861635220126
2025-08-13,144900,147400,144000,145000,1013,0.06901311249137336
2025-08-14,145400,146400,143500,145800,1297,0.5517241379310345
2025-08-18,145700,145700,143100,144400,856,-0.9602194787379973
2025-08-19,144400,145200,140900,144100,1480,-0.20775623268698062
2025-08-20,144100,144100,139600,141100,2186,-2.081887578070784
2025-08-21,141100,141100,139100,140400,1297,-0.4961020552799433
2025-08-22,140400,141100,138700,141000,824,0.4273504273504274
2025-08-25,141000,143000,139600,142900,734,1.3475177304964538
2025-08-26,142900,144500,135000,140800,1632,-1.4695591322603219
2025-08-27,140800,141200,137800,139600,1457,-0.8522727272727272
2025-08-28,139600,142200,138100,141600,1844,1.4326647564469914
2025-08-29,141600,143400,140600,143400,920,1.2711864406779663
2025-09-01,143400,143500,141100,141100,455,-1.6039051603905161
2025-09-02,141100,143700,138600,138600,344,-1.771793054571226
2025-09-03,137400,139400,137200,137800,337,-0.5772005772005772
2025-09-04,136500,140600,136500,140600,323,2.0319303338171264
2025-09-05,138600,140700,137600,140200,343,-0.2844950213371266
